Tags,Group,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,4,5,6,7,8,9
新建,方案状态,1,0,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,1,1,0,0,0,0
改建/扩建,,0,0,,,,,,,,,,1,,,,,,,,,,,0,,,,,0,0,0,0,0,0,0
未建成,,0,0,,,,,,,,,,0,,,,,,,,,,,0,,,,,0,0,0,0,0,0,0
火车站,类型,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,1,0,1,1,1,1,0
地铁/轻轨站,,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1
其它,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
城市中心,城市区位,0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1,1,1,1,0,1,0
城市边缘,,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,0,0,0,0,1,0,1
郊外,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0
等候式,客流模式,1,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,1,1,0,1,0
通过式,,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1
结合式,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0
宽敞的站前广场,前广场,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,0.0,1,0,0,0,1,1,1
必要的集散空间,,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0
垂直组织集约化用地,,0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
其它,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
换乘地铁,换乘,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
换乘巴士,,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1,0,1,1,0,1,0
换乘其它,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
商业,附属功能,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,1,1,0,1,0,0,0
餐饮,,0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0
